candidate,lat,lon,sector,share
EnBW Windpark Baltic 1,54.61,12.65,NW,0.13206214689265536
Arkona-Becken Südost,54.78,14.12,N,0.046610169491525424
Arkona-Becken Südost,54.78,14.12,NE,0.029661016949152543
Arkona-Becken Südost,54.78,14.12,E,0.022598870056497175
Arkona-Becken Südost,54.78,14.12,SE,0.1137005649717514
Arkona-Becken Südost,54.78,14.12,S,0.09463276836158192
Arkona-Becken Südost,54.78,14.12,SW,0.2528248587570621
Arkona-Becken Südost,54.78,14.12,W,0.2874293785310734
Arkona-Becken Südost,54.78,14.12,NW,0.15254237288135594
Arcadis Ost 1,54.82,13.66,N,0.03884180790960452
Arcadis Ost 1,54.82,13.66,NE,0.02824858757062147
Arcadis Ost 1,54.82,13.66,E,0.026836158192090395
Arcadis Ost 1,54.82,13.66,SE,0.12146892655367232
Arcadis Ost 1,54.82,13.66,S,0.0826271186440678
Arcadis Ost 1,54.82,13.66,SW,0.2584745762711864
Arcadis Ost 1,54.82,13.66,W,0.3022598870056497
Arcadis Ost 1,54.82,13.66,NW,0.14124293785310735
Baltic Eagle,54.83,13.86,N,0.04025423728813559
Baltic Eagle,54.83,13.86,NE,0.03389830508474576
Baltic Eagle,54.83,13.86,E,0.021892655367231638
Baltic Eagle,54.83,13.86,SE,0.12005649717514125
Baltic Eagle,54.83,13.86,S,0.08757062146892655
Baltic Eagle,54.83,13.86,SW,0.2478813559322034
Baltic Eagle,54.83,13.86,W,0.2980225988700565
Baltic Eagle,54.83,13.86,NW,0.1504237288135593
Wikinger,54.84,14.07,N,0.04590395480225989
Wikinger,54.84,14.07,NE,0.033192090395480225
Wikinger,54.84,14.07,E,0.01977401129943503
Wikinger,54.84,14.07,SE,0.1172316384180791
Wikinger,54.84,14.07,S,0.09675141242937853
Wikinger,54.84,14.07,SW,0.23728813559322035
Wikinger,54.84,14.07,W,0.2951977401129944
Wikinger,54.84,14.07,NW,0.15466101694915255
EnBW Windpark Baltic 2,54.98,13.16,N,0.04590395480225989
EnBW Windpark Baltic 2,54.98,13.16,NE,0.012005649717514125
EnBW Windpark Baltic 2,54.98,13.16,E,0.036016949152542374
EnBW Windpark Baltic 2,54.98,13.16,SE,0.1285310734463277
EnBW Windpark Baltic 2,54.98,13.16,S,0.08615819209039548
EnBW Windpark Baltic 2,54.98,13.16,SW,0.2323446327683616
EnBW Windpark Baltic 2,54.98,13.16,W,0.3043785310734463
EnBW Windpark Baltic 2,54.98,13.16,NW,0.15466101694915255
Butendiek,55.02,7.77,N,0.0557909604519774
Butendiek,55.02,7.77,NE,0.020480225988700564
Butendiek,55.02,7.77,E,0.036016949152542374
