analysis_label,farm_id,wind_farm,turbine_id,turbine_source_row,country,sea_basin,sea_basin_mapping_rule,latitude,longitude,farm_centroid_latitude,farm_centroid_longitude,distance_to_farm_centroid_m,distance_to_farm_centroid_quantile,exposure_group,outer_ring_proxy,farm_turbine_count,oem_manufacturer,turbine_model,rated_capacity_mw,rotor_diameter_m,hub_height_m,commissioning_date,commissioning_month,commissioning_year,steady_operational_start_month,turbine_age_years_at_observation_end,turbine_age_band_at_observation_end,water_depth_m,bathymetry_spatial_match_status,bathymetry_join_status,steady_manifest_months,observed_steady_months,observed_steady_years,success_steady_months,success_no_ais_in_bbox_steady_months,skipped_missing_source_steady_months,other_status_steady_months,steady_coverage_share,first_observed_steady_month,last_observed_steady_month,coverage_class,min_1yr_exposure,min_3yr_exposure,min_5yr_exposure
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::30,30,Germany,North Sea,germany_north_sea,54.0075,6.6067,54.01095,6.606525,383.792893314309,0.09090909090909091,inner_or_middle_proxy,False,12,Adwen,M5000-116,5.0,116.0,90.0,2010-04,2010-04,2010,2010-10,15.666666666666666,15_plus_years,28.22,ok,matched_processed_bathymetry,183,171,14.25,92,79,12,0,0.9344262295081968,2010-10,2025-02,high_coverage,True,True,True
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::31,31,Germany,North Sea,germany_north_sea,54.0217,6.6059,54.01095,6.606525,1196.0426921842184,0.6363636363636364,inner_or_middle_proxy,False,12,Senvion,5M,5.08,126.0,92.0,2010-04,2010-04,2010,2010-10,15.666666666666666,15_plus_years,28.89,ok,matched_processed_bathymetry,183,171,14.25,92,79,12,0,0.9344262295081968,2010-10,2025-02,high_coverage,True,True,True
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::32,32,Germany,North Sea,germany_north_sea,54.0003,6.5945,54.01095,6.606525,1421.2403169256513,0.7272727272727273,inner_or_middle_proxy,False,12,Adwen,M5000-116,5.0,116.0,90.0,2010-04,2010-04,2010,2010-10,15.666666666666666,15_plus_years,27.21,ok,matched_processed_bathymetry,183,171,14.25,92,79,12,0,0.9344262295081968,2010-10,2025-02,high_coverage,True,True,True
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::33,33,Germany,North Sea,germany_north_sea,54.0003,6.6198,54.01095,6.606525,1467.985723123928,1.0,outer_exposed_proxy,True,12,Adwen,M5000-116,5.0,116.0,90.0,2010-04,2010-04,2010,2010-10,15.666666666666666,15_plus_years,27.79,ok,matched_processed_bathymetry,183,171,14.25,92,79,12,0,0.9344262295081968,2010-10,2025-02,high_coverage,True,True,True
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::34,34,Germany,North Sea,germany_north_sea,54.0075,6.6193,54.01095,6.606525,918.7012044498371,0.45454545454545453,inner_or_middle_proxy,False,12,Adwen,M5000-116,5.0,116.0,90.0,2010-04,2010-04,2010,2010-10,15.666666666666666,15_plus_years,28.63,ok,matched_processed_bathymetry,183,171,14.25,92,79,12,0,0.9344262295081968,2010-10,2025-02,high_coverage,True,True,True
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::35,35,Germany,North Sea,germany_north_sea,54.0143,6.5938,54.01095,6.606525,911.0692108908203,0.36363636363636365,inner_or_middle_proxy,False,12,Senvion,5M,5.08,126.0,92.0,2010-04,2010-04,2010,2010-10,15.666666666666666,15_plus_years,28.5,ok,matched_processed_bathymetry,183,171,14.25,92,79,12,0,0.9344262295081968,2010-10,2025-02,high_coverage,True,True,True
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::36,36,Germany,North Sea,germany_north_sea,54.0075,6.5942,54.01095,6.606525,892.0670970249433,0.2727272727272727,inner_or_middle_proxy,False,12,Adwen,M5000-116,5.0,116.0,90.0,2010-04,2010-04,2010,2010-10,15.666666666666666,15_plus_years,27.8,ok,matched_processed_bathymetry,183,171,14.25,92,79,12,0,0.9344262295081968,2010-10,2025-02,high_coverage,True,True,True
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::37,37,Germany,North Sea,germany_north_sea,54.0217,6.5935,54.01095,6.606525,1467.3070359957057,0.9090909090909091,outer_exposed_proxy,True,12,Senvion,5M,5.08,126.0,92.0,2010-04,2010-04,2010,2010-10,15.666666666666666,15_plus_years,29.8,ok,matched_processed_bathymetry,183,171,14.25,92,79,12,0,0.9344262295081968,2010-10,2025-02,high_coverage,True,True,True
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::38,38,Germany,North Sea,germany_north_sea,54.0143,6.6188,54.01095,6.606525,884.3183267810684,0.18181818181818182,inner_or_middle_proxy,False,12,Senvion,5M,5.08,126.0,92.0,2010-04,2010-04,2010,2010-10,15.666666666666666,15_plus_years,28.75,ok,matched_processed_bathymetry,183,171,14.25,92,79,12,0,0.9344262295081968,2010-10,2025-02,high_coverage,True,True,True
RQ9 turbine-level maintenance intervention intensity v1,Amrumbank West,Amrumbank West,Amrumbank_West::100,100,Germany,North Sea,germany_north_sea,54.5388,7.7534,54.523005,7.70624875,3512.880663345817,0.7215189873417721,inner_or_middle_proxy,False,80,Siemens,SWT-3.6-120,3.6,120.0,90.0,2015-10,2015-10,2015,2016-04,10.166666666666666,8_to_14_years,20.66,ok,matched_processed_bathymetry,117,105,8.75,65,40,12,0,0.8974358974358975,2016-05,2025-02,high_coverage,True,True,True
