analysis_label,farm_id,turbine_count,farm_commissioning_start_month,farm_commissioning_end_month,ramp_up_months,steady_operational_start_month,operational_start_month,operational_start_source,operational_window_known,total_manifest_months,pre_operational_manifest_months,commissioning_manifest_months,steady_manifest_months,unknown_phase_manifest_months,manifest_months,observed_months,observed_years,commissioning_observed_months,commissioning_observed_years,steady_observed_months,steady_observed_years,unknown_phase_observed_months,unknown_phase_observed_years,success_months,success_no_ais_in_bbox_months,skipped_missing_source_months,other_status_months,coverage_share,first_observed_month,last_observed_month,tier_a_visit_count,tier_b_visit_count,candidate_intervention_count,long_dwell_count,unique_vessel_count,pre_operational_candidate_count,commissioning_candidate_count,steady_candidate_count,unknown_phase_candidate_count,commissioning_long_dwell_count,steady_long_dwell_count,unknown_phase_long_dwell_count,candidate_date_missing_count,duplicate_adjustment_available,duplicate_candidate_row_count,duplicate_group_adjusted_candidate_count,commissioning_duplicate_adjusted_count,steady_duplicate_adjusted_count,unknown_phase_duplicate_adjusted_count,duplicate_adjustment_delta,candidate_interventions_per_observed_farm_year,long_dwell_interventions_per_observed_farm_year,commissioning_intervention_intensity_per_farm_year,steady_intervention_intensity_per_farm_year,confidence_class,recommended_simulator_use
RQ9 farm-level maintenance intervention intensity,Galloper,56,2018-04,2018-04,6,2018-10,2018-04,turbine_commissioning_date_range,True,192,99,6,87,0,93,82,6.833333333333333,6,0.5,76,6.333333333333333,0,0.0,4,78,11,0,0.8817204301075269,2018-04,2025-02,0,1,1,1,1,29,0,1,0,0,1,0,0,True,1,0.5,0.0,0.5,0.0,0.5,0.14634146341463417,0.14634146341463417,0.0,0.15789473684210528,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Gemini,150,2017-04,2017-04,6,2017-10,2017-04,turbine_commissioning_date_range,True,192,87,6,99,0,105,94,7.833333333333333,6,0.5,88,7.333333333333333,0,0.0,32,62,11,0,0.8952380952380953,2017-04,2025-02,30,8,38,28,7,0,2,36,0,1,27,0,0,True,0,38.0,2.0,36.0,0.0,0.0,4.851063829787234,3.5744680851063833,4.0,4.909090909090909,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Global Tech I,80,2015-09,2015-09,6,2016-03,2015-09,turbine_commissioning_date_range,True,192,68,6,118,0,124,112,9.333333333333334,6,0.5,106,8.833333333333334,0,0.0,50,62,12,0,0.9032258064516129,2015-09,2025-02,154,12,166,133,29,0,0,166,0,0,133,0,0,True,113,166.0,0.0,166.0,0.0,0.0,17.785714285714285,14.249999999999998,0.0,18.79245283018868,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Gode Wind 1 and 2,97,2016-09,2016-09,6,2017-03,2016-09,turbine_commissioning_date_range,True,192,80,6,106,0,112,101,8.416666666666666,6,0.5,95,7.916666666666667,0,0.0,41,60,11,0,0.9017857142857143,2016-09,2025-02,260,64,324,253,29,2,0,324,0,0,253,0,0,True,213,324.0,0.0,324.0,0.0,0.0,38.4950495049505,30.05940594059406,0.0,40.92631578947368,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Gode Wind 3,23,2025-02,2025-02,6,2025-08,2025-02,turbine_commissioning_date_range,True,192,181,6,5,0,11,1,0.08333333333333333,1,0.08333333333333333,0,0.0,0,0.0,1,0,10,0,0.09090909090909091,2025-02,2025-02,1,2,3,3,1,324,3,0,0,3,0,0,0,True,3,3.0,3.0,0.0,0.0,0.0,36.0,36.0,36.0,,low_coverage,insufficient_steady_coverage
RQ9 farm-level maintenance intervention intensity,Greater Gabbard,140,2013-08,2013-08,6,2014-02,2013-08,turbine_commissioning_date_range,True,192,43,6,143,0,149,137,11.416666666666666,6,0.5,131,10.916666666666666,0,0.0,10,127,12,0,0.9194630872483222,2013-08,2025-02,8,0,8,2,7,108,0,8,0,0,2,0,0,True,7,7.5,0.0,7.5,0.0,0.5,0.7007299270072993,0.17518248175182483,0.0,0.732824427480916,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Gunfleet Sands,48,2010-06,2010-06,6,2010-12,2010-06,turbine_commissioning_date_range,True,192,5,6,181,0,187,175,14.583333333333334,6,0.5,169,14.083333333333334,0,0.0,21,154,12,0,0.9358288770053476,2010-06,2025-02,22,0,22,21,7,0,0,22,0,0,21,0,0,True,0,22.0,0.0,22.0,0.0,0.0,1.5085714285714285,1.44,0.0,1.5621301775147929,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Gwynt y Mor,160,2015-06,2015-06,6,2015-12,2015-06,turbine_commissioning_date_range,True,192,65,6,121,0,127,115,9.583333333333334,6,0.5,109,9.083333333333334,0,0.0,6,109,12,0,0.905511811023622,2015-06,2025-02,3,0,3,0,2,27,0,3,0,0,0,0,0,True,0,3.0,0.0,3.0,0.0,0.0,0.31304347826086953,0.0,0.0,0.33027522935779813,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Hollandse Kust Noord,69,2023-12,2023-12,6,2024-06,2023-12,turbine_commissioning_date_range,True,192,167,6,19,0,25,14,1.1666666666666667,6,0.5,8,0.6666666666666666,0,0.0,8,6,11,0,0.56,2023-12,2025-02,2,5,7,6,3,7,0,7,0,0,6,0,0,True,0,7.0,0.0,7.0,0.0,0.0,6.0,5.142857142857142,0.0,10.5,low_coverage,insufficient_steady_coverage
RQ9 farm-level maintenance intervention intensity,Hollandse Kust Zuid,140,2024-12,2024-12,6,2025-06,2024-12,turbine_commissioning_date_range,True,192,179,6,7,0,13,3,0.25,3,0.25,0,0.0,0,0.0,3,0,10,0,0.23076923076923078,2024-12,2025-02,0,0,0,0,0,43,0,0,0,0,0,0,0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,low_coverage,insufficient_steady_coverage
RQ9 farm-level maintenance intervention intensity,Horns Rev I,80,2002-12,2002-12,6,2003-06,2002-12,turbine_commissioning_date_range,True,192,0,0,192,0,192,180,15.0,0,0.0,180,15.0,0,0.0,134,46,12,0,0.9375,2010-01,2025-02,572,15,587,549,30,0,0,587,0,0,549,0,0,True,0,587.0,0.0,587.0,0.0,0.0,39.13333333333333,36.6,,39.13333333333333,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Horns Rev II,91,2010-01,2010-01,6,2010-07,2010-01,turbine_commissioning_date_range,True,192,0,6,186,0,192,180,15.0,6,0.5,174,14.5,0,0.0,134,46,12,0,0.9375,2010-01,2025-02,536,3,539,527,28,0,7,532,0,7,520,0,0,True,346,536.5,7.0,529.5,0.0,2.5,35.93333333333333,35.13333333333333,14.0,36.689655172413794,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Horns Rev III,49,2019-08,2019-08,6,2020-02,2019-08,turbine_commissioning_date_range,True,192,115,6,71,0,77,66,5.5,6,0.5,60,5.0,0,0.0,66,0,11,0,0.8571428571428571,2019-08,2025-02,443,11,454,415,48,93,14,440,0,14,401,0,0,True,229,451.5,14.0,437.5,0.0,2.5,82.54545454545455,75.45454545454545,28.0,88.0,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Hornsea Project 1,174,2019-12,2019-12,6,2020-06,2019-12,turbine_commissioning_date_range,True,192,119,6,67,0,73,62,5.166666666666667,6,0.5,56,4.666666666666667,0,0.0,13,49,11,0,0.8493150684931506,2019-12,2025-02,26,7,33,30,13,5,4,29,0,4,26,0,0,True,15,29.0,4.0,25.0,0.0,4.0,6.387096774193548,5.806451612903225,8.0,6.2142857142857135,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Hornsea Project 2,165,2022-08,2022-08,6,2023-02,2022-08,turbine_commissioning_date_range,True,192,151,6,35,0,41,30,2.5,6,0.5,24,2.0,0,0.0,8,22,11,0,0.7317073170731707,2022-08,2025-02,14,16,30,24,11,10,3,27,0,2,22,0,0,True,12,26.0,2.5,23.5,0.0,4.0,12.0,9.6,6.0,13.5,low_coverage,validation_required
RQ9 farm-level maintenance intervention intensity,Humber Gateway,73,2015-05,2015-05,6,2015-11,2015-05,turbine_commissioning_date_range,True,192,64,6,122,0,128,116,9.666666666666666,6,0.5,110,9.166666666666666,0,0.0,14,102,12,0,0.90625,2015-05,2025-02,5,0,5,3,4,4,0,5,0,0,3,0,0,True,0,5.0,0.0,5.0,0.0,0.0,0.5172413793103449,0.3103448275862069,0.0,0.5454545454545455,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Hywind Scotland Pilot Park,5,2017-10,2017-10,6,2018-04,2017-10,turbine_commissioning_date_range,True,192,93,6,93,0,99,88,7.333333333333333,6,0.5,82,6.833333333333333,0,0.0,7,81,11,0,0.8888888888888888,2017-10,2025-02,5,2,7,4,4,1,0,7,0,0,4,0,0,True,0,7.0,0.0,7.0,0.0,0.0,0.9545454545454546,0.5454545454545455,0.0,1.024390243902439,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Inner Dowsing,27,2009-03,2009-03,6,2009-09,2009-03,turbine_commissioning_date_range,True,192,0,0,192,0,192,180,15.0,0,0.0,180,15.0,0,0.0,16,164,12,0,0.9375,2010-01,2025-02,55,0,55,53,17,0,0,55,0,0,53,0,0,True,53,40.0,0.0,40.0,0.0,15.0,3.6666666666666665,3.533333333333333,,3.6666666666666665,high_observed_signal,steady_operational_only
