analysis_label,farm_id,wind_farm,turbine_id,country,sea_basin,sea_basin_mapping_rule,latitude,longitude,exposure_group,outer_ring_proxy,distance_to_farm_centroid_m,distance_to_farm_centroid_quantile,water_depth_m,oem_manufacturer,turbine_model,rated_capacity_mw,rotor_diameter_m,hub_height_m,commissioning_year,turbine_age_band_at_observation_end,observed_steady_months,observed_steady_years,steady_coverage_share,coverage_class,min_1yr_exposure,min_3yr_exposure,min_5yr_exposure,steady_high_event_count,steady_high_duplicate_adjusted_event_count,steady_high_unique_vessel_count,steady_high_repeat_visit_30d_count,steady_high_medium_event_count,steady_high_medium_duplicate_adjusted_event_count,steady_high_medium_unique_vessel_count,steady_high_medium_repeat_visit_30d_count,primary_intervention_intensity_per_steady_turbine_year,sensitivity_intervention_intensity_per_steady_turbine_year,turbine_intervention_confidence_class
RQ9 turbine-level maintenance intervention intensity v1,Amrumbank West,Amrumbank West,Amrumbank_West::101,Germany,North Sea,germany_north_sea,54.5388,7.7658,outer_exposed_proxy,True,4224.76321557258,0.8734177215189873,20.53,Siemens,SWT-3.6-120,3.6,120.0,90.0,2015,8_to_14_years,105,8.75,0.8974358974358975,high_coverage,True,True,True,1,1.0,1,0,2,2.0,1,1,0.11428571428571428,0.22857142857142856,high_observed_signal
RQ9 turbine-level maintenance intervention intensity v1,Amrumbank West,Amrumbank West,Amrumbank_West::102,Germany,North Sea,germany_north_sea,54.5388,7.6785,inner_or_middle_proxy,False,2508.039360282728,0.45569620253164556,21.37,Siemens,SWT-3.6-120,3.6,120.0,90.0,2015,8_to_14_years,105,8.75,0.8974358974358975,high_coverage,True,True,True,0,0.0,0,0,2,2.0,2,1,0.0,0.22857142857142856,high_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Amrumbank West,Amrumbank West,Amrumbank_West::103,Germany,North Sea,germany_north_sea,54.5334,7.641,outer_exposed_proxy,True,4366.065159089544,0.9240506329113924,23.35,Siemens,SWT-3.6-120,3.6,120.0,90.0,2015,8_to_14_years,105,8.75,0.8974358974358975,high_coverage,True,True,True,3,3.0,2,2,4,4.0,3,2,0.34285714285714286,0.45714285714285713,high_observed_signal
RQ9 turbine-level maintenance intervention intensity v1,Amrumbank West,Amrumbank West,Amrumbank_West::104,Germany,North Sea,germany_north_sea,54.5334,7.7409,inner_or_middle_proxy,False,2517.0256087491366,0.46835443037974683,21.73,Siemens,SWT-3.6-120,3.6,120.0,90.0,2015,8_to_14_years,105,8.75,0.8974358974358975,high_coverage,True,True,True,2,2.0,2,0,7,6.5,4,2,0.22857142857142856,0.7428571428571429,high_observed_signal
RQ9 turbine-level maintenance intervention intensity v1,Amrumbank West,Amrumbank West,Amrumbank_West::105,Germany,North Sea,germany_north_sea,54.5064,7.7284,inner_or_middle_proxy,False,2335.282397320356,0.4430379746835443,20.64,Siemens,SWT-3.6-120,3.6,120.0,90.0,2015,8_to_14_years,105,8.75,0.8974358974358975,high_coverage,True,True,True,1,0.5,1,0,2,1.0,2,0,0.05714285714285714,0.11428571428571428,high_observed_signal
RQ9 turbine-level maintenance intervention intensity v1,Amrumbank West,Amrumbank West,Amrumbank_West::106,Germany,North Sea,germany_north_sea,54.528,7.7159,inner_or_middle_proxy,False,834.4907397193698,0.05063291139240506,22.05,Siemens,SWT-3.6-120,3.6,120.0,90.0,2015,8_to_14_years,105,8.75,0.8974358974358975,high_coverage,True,True,True,2,2.0,2,0,7,7.0,5,2,0.22857142857142856,0.8,high_observed_signal
RQ9 turbine-level maintenance intervention intensity v1,Amrumbank West,Amrumbank West,Amrumbank_West::107,Germany,North Sea,germany_north_sea,54.528,7.7284,inner_or_middle_proxy,False,1533.5547966193417,0.189873417721519,22.38,Siemens,SWT-3.6-120,3.6,120.0,90.0,2015,8_to_14_years,105,8.75,0.8974358974358975,high_coverage,True,True,True,0,0.0,0,0,5,5.0,5,2,0.0,0.5714285714285714,high_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Amrumbank West,Amrumbank West,Amrumbank_West::108,Germany,North Sea,germany_north_sea,54.528,7.7534,inner_or_middle_proxy,False,3092.9914426161013,0.6075949367088608,20.51,Siemens,SWT-3.6-120,3.6,120.0,90.0,2015,8_to_14_years,105,8.75,0.8974358974358975,high_coverage,True,True,True,5,5.0,1,2,18,17.5,7,15,0.5714285714285714,2.0,high_observed_signal
RQ9 turbine-level maintenance intervention intensity v1,Amrumbank West,Amrumbank West,Amrumbank_West::109,Germany,North Sea,germany_north_sea,54.528,7.7783,outer_exposed_proxy,True,4682.590226488797,0.9746835443037974,19.93,Siemens,SWT-3.6-120,3.6,120.0,90.0,2015,8_to_14_years,105,8.75,0.8974358974358975,high_coverage,True,True,True,1,1.0,1,0,1,1.0,1,0,0.11428571428571428,0.11428571428571428,high_observed_signal
RQ9 turbine-level maintenance intervention intensity v1,Amrumbank West,Amrumbank West,Amrumbank_West::110,Germany,North Sea,germany_north_sea,54.5064,7.7159,inner_or_middle_proxy,False,1948.6540543663878,0.3291139240506329,21.06,Siemens,SWT-3.6-120,3.6,120.0,90.0,2015,8_to_14_years,105,8.75,0.8974358974358975,high_coverage,True,True,True,3,2.0,2,0,6,3.5,5,0,0.22857142857142856,0.4,high_observed_signal
