farm_id,wind_farm,sea_basin,country,turbine_count,observed_steady_turbine_years,observed_steady_months,steady_manifest_months,success_steady_months,success_no_ais_in_bbox_steady_months,skipped_missing_source_steady_months,farm_centroid_latitude,farm_centroid_longitude,mean_water_depth_m,steady_coverage_share,success_no_ais_share_of_observed,skipped_missing_source_share_of_manifest,zero_event_turbine_share_high_confidence,high_confidence_event_count,high_confidence_adjusted_event_count,high_medium_event_count,high_medium_adjusted_event_count,high_coverage_zero_event_turbine_share,tier_a_steady_event_count,tier_a_high_assignment_count,tier_a_high_medium_assignment_count,median_distance_to_turbine_m,tier_a_high_assignment_share,tier_a_high_medium_assignment_share,high_confidence_unique_mmsi,high_confidence_median_duration_min,high_confidence_p90_duration_min,high_confidence_top5_mmsi_share,all_dwell_event_count,all_dwell_unique_mmsi,all_dwell_top5_mmsi_share,all_dwell_median_duration_min,all_dwell_share_le_60min,all_dwell_share_le_120min,tier_a_all_dwell_count,tier_b_all_dwell_count,tier_a_share_all_dwell,primary_intervention_intensity_per_steady_turbine_year,sensitivity_intervention_intensity_per_steady_turbine_year,direct_receiver_metadata_available,offshore_or_receiver_distance_available,observability_control_note
Amrumbank West,Amrumbank West,North Sea,Germany,80,700.0,8400,9360,5200,3200,960,54.523005,7.70624875,21.55525,0.8974358974358975,0.38095238095238093,0.10256410256410256,0.45,85,77.83333333333333,304,274.3333333333333,0.45,352.0,85.0,304.0,280.05578322401647,0.24147727272727273,0.8636363636363636,28.0,411.98333333333335,1470.9200000000003,0.5411764705882353,896.0,71.0,0.5212053571428571,288.55833333333334,0.11049107142857142,0.26674107142857145,353.0,28.0,0.3939732142857143,0.11119047619047619,0.39190476190476187,False,False,low_tier_a_high_assignment_share
Thornton Bank - phase I,Thornton Bank - phase I,North Sea,Belgium,6,90.0,1080,1152,138,942,72,51.54403333333334,2.9384,19.294369333333332,0.9375,0.8722222222222222,0.0625,0.3333333333333333,9,8.5,16,12.5,0.3333333333333333,21.0,9.0,16.0,247.50365762763624,0.42857142857142855,0.7619047619047619,5.0,285.6333333333333,391.2433333333334,1.0,80.0,36.0,0.3375,407.93333333333334,0.05,0.1875,21.0,0.0,0.2625,0.09444444444444444,0.1388888888888889,False,False,proxy_controls_only
Alpha Ventus,Alpha Ventus,North Sea,Germany,12,171.0,2052,2196,1104,948,144,54.01095,6.606525,28.363333333333333,0.9344262295081968,0.4619883040935672,0.06557377049180328,0.4166666666666667,16,16.0,48,48.0,0.4166666666666667,50.0,16.0,48.0,253.09796447249295,0.32,0.96,7.0,313.625,1359.975,0.875,895.0,75.0,0.7229050279329609,236.05,0.1005586592178771,0.2849162011173184,52.0,250.0,0.05810055865921788,0.0935672514619883,0.2807017543859649,False,False,proxy_controls_only
Nordsee Ost,Nordsee Ost,North Sea,Germany,48,440.0,5280,5856,3120,2160,576,54.444152083333336,7.675727083333332,23.698515333333333,0.9016393442622951,0.4090909090909091,0.09836065573770492,0.5,40,39.5,172,165.0,0.5,292.0,40.0,172.0,447.31465767277876,0.136986301369863,0.589041095890411,14.0,295.91666666666663,544.671666666667,0.725,1376.0,118.0,0.3960755813953488,230.48333333333335,0.10610465116279069,0.31540697674418605,297.0,24.0,0.21584302325581395,0.08977272727272727,0.375,False,False,low_tier_a_high_assignment_share
Hywind Scotland Pilot Park,Hywind Scotland Pilot Park,North Sea,United Kingdom,5,34.166666666666664,410,465,25,385,55,57.4871,-1.35618,107.354,0.8817204301075269,0.9390243902439024,0.11827956989247312,0.6,3,3.0,4,4.0,0.6,5.0,3.0,4.0,185.47764773586425,0.6,0.8,2.0,133.3,486.7933333333333,1.0,14.0,9.0,0.7142857142857143,104.5,0.35714285714285715,0.5714285714285714,5.0,3.0,0.35714285714285715,0.0878048780487805,0.11707317073170732,False,False,proxy_controls_only
Borkum Riffgrund 1,Borkum Riffgrund 1,North Sea,Germany,78,682.5,8190,9126,5304,2886,936,53.96736025641025,6.554132051282052,25.747307692307693,0.8974358974358975,0.3523809523809524,0.10256410256410256,0.5256410256410257,58,56.0,124,116.5,0.5256410256410257,151.0,58.0,124.0,251.74884306100145,0.3841059602649007,0.8211920529801324,12.0,209.875,800.3183333333338,0.7931034482758621,1031.0,119.0,0.5470417070805044,225.6,0.10281280310378274,0.2851600387972842,151.0,23.0,0.14645974781765275,0.08205128205128205,0.1706959706959707,False,False,proxy_controls_only
Deutsche Bucht,Deutsche Bucht,North Sea,Germany,31,152.41666666666669,1829,2170,775,1054,341,54.30402258064516,5.789470967741936,39.175483870967746,0.8428571428571429,0.576271186440678,0.15714285714285714,0.6774193548387096,12,12.0,31,31.0,,46.0,12.0,31.0,355.4044583737892,0.2608695652173913,0.6739130434782609,5.0,213.84166666666667,1062.4199999999998,1.0,205.0,40.0,0.7658536585365854,204.55,0.08780487804878048,0.2731707317073171,56.0,11.0,0.2731707317073171,0.07873154729360306,0.20338983050847456,False,False,proxy_controls_only
Sandbank,Sandbank,North Sea,Germany,72,546.0,6552,7344,5256,1296,792,55.2013125,6.852009722222222,28.387500000000003,0.8921568627450981,0.1978021978021978,0.10784313725490197,0.5694444444444444,40,40.0,175,175.0,0.5694444444444444,271.0,40.0,175.0,448.9328366879331,0.14760147601476015,0.6457564575645757,15.0,428.1,1832.465000000001,0.7,383.0,57.0,0.5744125326370757,379.81666666666666,0.08616187989556136,0.185378590078329,286.0,19.0,0.7467362924281984,0.07326007326007326,0.32051282051282054,False,False,low_tier_a_high_assignment_share
Global Tech I,Global Tech I,North Sea,Germany,80,706.6666666666667,8480,9440,4000,4480,960,54.50845,6.36475875,39.37475,0.8983050847457628,0.5283018867924528,0.1016949152542373,0.725,38,38.0,134,134.0,0.725,154.0,38.0,134.0,338.60372691078226,0.24675324675324675,0.8701298701298701,13.0,518.05,3010.376666666668,0.7631578947368421,434.0,60.0,0.6912442396313364,225.15833333333333,0.08986175115207373,0.2995391705069124,154.0,12.0,0.3548387096774194,0.05377358490566037,0.18962264150943395,False,False,low_tier_a_high_assignment_share
Trianel Windpark Borkum 1,Trianel Windpark Borkum 1,North Sea,Germany,40,353.33333333333337,4240,4720,2720,1520,480,54.045497499999996,6.457649999999999,30.15425,0.8983050847457628,0.3584905660377358,0.1016949152542373,0.625,18,17.5,66,64.5,0.625,92.0,18.0,66.0,379.16331975329774,0.1956521739130435,0.717391304347826,7.0,188.49166666666667,724.5400000000002,0.8888888888888888,900.0,116.0,0.5244444444444445,202.41666666666669,0.12555555555555556,0.32555555555555554,94.0,31.0,0.10444444444444445,0.04952830188679245,0.18254716981132074,False,False,low_tier_a_high_assignment_share
EnBW Hohe See,EnBW Hohe See,North Sea,Germany,71,337.25,4047,4828,2130,1917,781,54.439228169014086,6.332674647887323,39.43521126760564,0.8382352941176471,0.47368421052631576,0.16176470588235295,0.8169014084507042,16,15.5,58,54.0,,97.0,16.0,58.0,426.8257775206246,0.16494845360824742,0.5979381443298969,2.0,338.80833333333334,1498.0,1.0,450.0,72.0,0.6133333333333333,249.40833333333333,0.1,0.2577777777777778,127.0,15.0,0.2822222222222222,0.04595997034840623,0.16011860637509265,False,False,low_tier_a_high_assignment_share
Riffgat,Riffgat,North Sea,Germany,30,310.0,3720,4080,540,3180,360,53.69240333333333,6.475443333333333,20.901,0.9117647058823529,0.8548387096774194,0.08823529411764706,0.7333333333333333,14,14.0,43,43.0,0.7333333333333333,46.0,14.0,43.0,261.3572897135874,0.30434782608695654,0.9347826086956522,4.0,125.34166666666667,327.55000000000007,1.0,101.0,30.0,0.6237623762376238,202.65,0.18811881188118812,0.3069306930693069,60.0,5.0,0.594059405940594,0.04516129032258064,0.13870967741935483,False,False,proxy_controls_only
Bard Offshore 1,Bard Offshore 1,North Sea,Germany,80,866.6666666666667,10400,11360,3680,6720,960,54.3568925,5.9823375,39.638375,0.9154929577464789,0.6461538461538462,0.08450704225352113,0.725,37,37.0,82,82.0,0.725,95.0,37.0,82.0,297.66349919096433,0.3894736842105263,0.8631578947368421,5.0,324.8833333333333,1441.2166666666662,1.0,281.0,63.0,0.5871886120996441,268.3833333333333,0.08896797153024912,0.26334519572953735,125.0,15.0,0.44483985765124556,0.04269230769230769,0.0946153846153846,False,False,proxy_controls_only
Inner Dowsing,Inner Dowsing,North Sea,United Kingdom,27,405.0,4860,5184,432,4428,324,53.18924074074074,0.4449185185185185,6.742075011111111,0.9375,0.9111111111111111,0.0625,0.5555555555555556,18,16.333333333333332,35,28.833333333333332,0.5555555555555556,55.0,18.0,35.0,357.0983722860687,0.32727272727272727,0.6363636363636364,11.0,395.68333333333334,1037.1983333333333,0.6666666666666666,228.0,60.0,0.19736842105263158,450.04166666666663,0.043859649122807015,0.09649122807017543,55.0,0.0,0.2412280701754386,0.040329218106995884,0.07119341563786008,False,False,proxy_controls_only
Borkum Riffgrund 2,Borkum Riffgrund 2,North Sea,Germany,56,317.33333333333337,3808,4424,2856,952,616,53.951166071428574,6.496183928571428,27.448214285714283,0.8607594936708861,0.25,0.13924050632911392,0.8035714285714286,14,12.5,45,41.0,0.8035714285714286,94.0,14.0,45.0,510.3930895209963,0.14893617021276595,0.4787234042553192,8.0,341.31666666666666,1223.1783333333335,0.7857142857142857,1016.0,131.0,0.530511811023622,230.55833333333334,0.10531496062992125,0.29429133858267714,112.0,100.0,0.11023622047244094,0.039390756302521,0.1292016806722689,False,False,low_tier_a_high_assignment_share
Albatros,Albatros,North Sea,Germany,16,73.33333333333333,880,1056,480,400,176,54.48715,6.24359375,40.265,0.8333333333333334,0.45454545454545453,0.16666666666666666,0.8125,3,2.5,14,12.5,,54.0,3.0,14.0,1052.4194623377934,0.05555555555555555,0.25925925925925924,1.0,164.0,1376.2933333333333,1.0,392.0,48.0,0.7882653061224489,151.825,0.10459183673469388,0.4260204081632653,61.0,9.0,0.1556122448979592,0.034090909090909095,0.17045454545454547,False,False,low_tier_a_high_assignment_share
